10			34
20			76
30			151
40			247
50			358
60			568
70			642
80			774
90			1318
100			1603
200			6683
300			16389
400			31023
500			63022
600			74149
700			120732
800			150203
900			185254
1000			224057
2000			1.16889e+006
3000			3.10339e+006
4000			5.60166e+006
5000			9.63762e+006
6000			1.45188e+007
7000			2.09972e+007
8000			2.76124e+007
9000			3.60009e+007
10000			4.58191e+007
